winner,white_rating,black_rating
1,1500,1191
0,1322,1261
1,1496,1500
1,1439,1454
1,1523,1469
1,1520,1423
0,1413,2108
0,1439,1392
1,1381,1209
1,1381,1272
0,1381,1867
0,1381,1936
0,1381,1607
1,1094,1141
0,1141,1094
0,1094,1141
0,1141,1094
0,1094,1300
1,1500,1094
0,1094,1676
