t_sec,proc_cpu_percent,proc_rss_mb,sys_cpu_percent,sys_mem_percent,gpu_util_avg,gpu_mem_used_mib
14.322,0.0,57.312,0.0,86.3,,
14.522,7.8,57.312,1.9,86.3,,
14.722,0.0,57.312,2.1,86.3,,
14.974,0.0,57.316,5.9,86.2,,
15.175,0.0,57.316,2.0,86.2,,
15.375,0.0,57.316,0.0,86.2,,
15.576,0.0,57.316,0.0,86.2,,
15.777,0.0,57.316,0.0,86.2,,
16.007,0.0,57.316,3.3,86.2,,
16.208,0.0,57.316,6.1,86.2,,
16.408,0.0,57.316,0.0,86.2,,
16.609,0.0,57.316,1.9,86.2,,
16.81,0.0,57.316,1.9,86.2,,
17.01,0.0,57.316,9.4,86.2,,
17.211,0.0,57.316,2.0,86.2,,
17.412,0.0,57.316,0.0,86.2,,
17.613,0.0,57.316,5.6,86.2,,
17.813,0.0,57.316,4.0,86.2,,
18.014,0.0,57.316,3.7,86.2,,
18.215,0.0,57.316,2.0,86.2,,
18.415,0.0,57.316,0.0,86.2,,
18.616,0.0,57.316,5.7,86.2,,
18.816,0.0,57.316,4.0,86.2,,
19.017,0.0,57.316,3.8,86.2,,
19.218,0.0,57.316,3.9,86.2,,
19.419,0.0,57.316,0.0,86.2,,
19.619,0.0,57.316,5.6,86.2,,
19.819,0.0,57.316,2.0,86.2,,
20.02,0.0,57.32,19.2,86.1,,
20.22,0.0,57.32,2.0,86.1,,
20.42,0.0,57.32,11.5,86.1,,
20.621,0.0,57.32,6.0,86.2,,
20.822,0.0,57.32,0.0,86.2,,
21.024,0.0,57.32,0.0,86.1,,
21.225,0.0,57.32,2.0,86.1,,
21.425,0.0,57.32,7.7,86.1,,
21.626,0.0,57.32,12.0,86.1,,
21.827,0.0,57.32,1.9,86.1,,
22.027,0.0,57.324,3.8,86.1,,
22.235,0.0,57.324,3.7,86.1,,
22.436,0.0,57.324,3.9,86.1,,
22.636,0.0,57.324,5.9,86.1,,
22.837,0.0,57.324,0.0,86.1,,
23.037,0.0,57.324,3.9,86.1,,
23.238,0.0,57.324,3.8,86.1,,
23.438,0.0,57.324,0.0,86.1,,
23.639,0.0,57.328,5.5,86.1,,
23.84,0.0,57.328,5.9,86.1,,
24.04,0.0,57.328,0.0,86.1,,
24.241,7.8,57.328,1.9,86.1,,
24.444,0.0,57.328,4.1,86.1,,
24.644,0.0,57.328,2.0,86.1,,
24.845,0.0,57.328,1.9,86.1,,
25.045,0.0,57.328,0.0,86.1,,
25.246,0.0,57.332,0.0,86.1,,
25.447,0.0,57.332,1.9,86.1,,
25.647,0.0,57.332,0.0,86.1,,
25.855,0.0,57.336,3.8,86.1,,
26.055,0.0,57.336,0.0,86.1,,
26.256,0.0,57.336,0.0,86.1,,
26.457,0.0,57.336,1.9,86.1,,
26.657,0.0,57.336,0.0,86.1,,
26.858,0.0,57.336,0.0,86.1,,
27.095,0.0,57.336,6.2,86.1,,
27.296,0.0,57.336,0.0,86.1,,
27.497,0.0,57.336,1.9,86.1,,
27.697,0.0,57.336,0.0,86.1,,
27.898,0.0,57.336,3.8,86.1,,
28.098,0.0,57.336,2.0,86.1,,
28.299,0.0,57.336,0.0,86.1,,
28.5,0.0,57.336,1.9,86.1,,
28.7,0.0,57.336,0.0,86.1,,
28.901,0.0,57.336,3.8,86.1,,
29.101,7.8,57.488,2.0,86.1,,
29.302,0.0,57.488,4.1,86.1,,
29.503,7.8,57.488,3.8,86.1,,
29.703,0.0,57.488,1.9,86.1,,
29.904,0.0,57.492,0.0,86.1,,
