t_sec,proc_cpu_percent,proc_rss_mb,sys_cpu_percent,sys_mem_percent,gpu_util_avg,gpu_mem_used_mib
0.227,,,10.3,88.9,,
0.474,,,21.3,88.9,,
0.675,,,26.4,88.9,,
0.908,,,30.6,88.9,,
1.154,,,39.7,89.0,,
1.384,,,44.8,89.1,,
1.591,,,39.2,89.1,,
1.799,,,29.6,89.1,,
2.014,,,29.3,89.1,,
2.218,,,18.9,89.1,,
2.46,,,39.7,89.1,,
2.673,,,20.8,89.1,,
2.876,,,19.2,89.1,,
3.074,,,22.0,89.1,,
3.268,,,20.4,89.1,,
3.48,,,26.8,89.1,,
3.683,,,21.6,89.1,,
3.893,,,19.2,89.1,,
4.093,,,23.1,89.1,,
4.3,,,21.2,89.1,,
4.505,,,23.1,89.1,,
4.699,,,26.9,89.1,,
4.901,,,21.8,89.1,,
5.15,,,24.6,89.1,,
5.351,,,23.5,89.1,,
5.561,,,19.6,89.1,,
5.763,,,24.0,89.1,,
5.971,,,22.2,89.1,,
6.176,,,23.6,89.1,,
6.384,,,17.0,89.1,,
6.594,,,19.6,89.1,,
6.804,,,20.4,89.0,,
7.01,,,26.3,89.0,,
7.217,,,20.8,89.0,,
7.429,,,25.0,89.0,,
7.654,,,27.4,89.0,,
7.862,,,17.6,88.9,,
8.069,,,21.6,88.9,,
8.277,,,21.8,89.0,,
8.487,,,26.8,89.0,,
8.684,,,25.5,89.0,,
8.893,,,24.1,89.0,,
9.099,,,20.8,88.9,,
9.309,,,30.2,89.0,,
9.519,,,22.6,89.0,,
9.727,,,20.0,89.0,,
9.938,,,22.6,88.9,,
10.145,,,19.2,88.9,,
10.356,,,23.7,89.0,,
10.582,,,19.0,89.0,,
10.8,,,16.1,89.0,,
11.028,,,21.7,88.9,,
11.239,,,27.8,89.0,,
11.465,,,26.8,89.0,,
11.751,,,60.8,89.0,,
11.977,,,27.6,89.1,,
12.213,,,25.4,89.2,,
12.432,,,18.9,89.2,,
12.667,,,25.8,89.2,,
12.885,,,17.5,89.2,,
13.102,,,17.9,89.2,,
13.314,,,18.2,89.2,,
13.515,,,23.5,89.2,,
13.723,,,24.1,89.1,,
13.98,,,69.2,89.5,,
14.204,,,27.9,89.5,,
14.473,,,36.9,89.7,,
14.744,,,37.8,89.8,,
14.976,,,53.4,89.8,,
