depth,trial,elapsed_sec,rss_mb,rss_delta_mb,cpu_percent
3,1,0.276,101.96,0.1,107.6
3,2,0.228,101.96,0.0,95.8
3,3,0.205,101.97,0.0,106.5
4,1,0.54,102.02,0.05,98.3
4,2,0.562,102.02,0.0,102.9
4,3,0.703,102.02,0.0,100.0
5,1,0.911,102.07,0.05,102.9
5,2,0.902,102.08,0.01,98.7
5,3,0.881,102.08,0.0,101.0
