t_sec,proc_cpu_percent,proc_rss_mb,sys_cpu_percent,sys_mem_percent,gpu_util_avg,gpu_mem_used_mib
0.211,14.7,92.801,36.1,65.6,,
0.701,89.4,93.238,46.2,65.7,,
1.148,94.1,93.273,56.6,65.7,,
1.638,99.1,93.391,64.6,65.8,,
2.188,88.1,93.406,86.1,65.8,,
2.608,96.5,93.438,57.0,65.7,,
3.007,97.8,93.445,68.8,65.8,,
3.367,91.6,93.582,30.5,65.8,,
3.71,90.9,93.598,33.5,65.7,,
4.104,99.2,97.965,35.7,65.8,,
4.436,99.0,98.016,38.2,65.8,,
4.811,95.4,98.418,34.9,65.8,,
5.216,92.8,98.438,56.4,65.8,,
5.587,101.2,98.449,50.3,65.8,,
5.931,86.5,98.453,34.1,65.8,,
6.3,97.4,98.594,29.8,65.8,,
6.645,90.5,98.602,35.1,65.8,,
6.996,89.2,98.605,37.0,65.8,,
7.335,96.7,98.625,38.3,65.8,,
7.707,92.4,98.664,41.6,65.9,,
8.118,98.7,98.703,31.7,66.0,,
8.491,87.8,98.719,40.9,66.0,,
8.865,100.6,98.723,37.3,66.0,,
9.235,97.2,98.727,44.0,66.0,,
9.586,97.8,98.727,34.8,66.0,,
9.934,98.9,98.734,32.0,66.1,,
10.339,92.5,98.734,45.9,66.2,,
10.739,97.7,98.754,62.3,66.3,,
11.128,92.2,98.781,42.8,66.3,,
11.502,100.3,98.789,42.8,66.3,,
11.838,97.9,98.793,48.8,66.3,,
12.154,93.7,98.812,44.0,66.4,,
12.443,102.8,98.812,34.6,66.4,,
12.69,101.4,98.82,21.3,66.4,,
12.938,94.4,98.82,26.3,66.4,,
13.193,104.3,98.832,21.0,66.4,,
13.458,100.0,98.883,23.5,66.4,,
13.742,93.6,98.902,24.2,66.4,,
14.105,94.8,98.957,42.6,66.5,,
