game_num,result,meraki_white,moves,time_sec
1,0-1,True,34,26.363463100016816
2,1-0,False,49,37.409668700012844
3,0-1,True,54,41.02378120002686
4,1-0,False,47,36.6503230999806
5,0-1,True,32,24.252458300004946
