game_num,result,meraki_white,moves,time_sec
1,*,True,1,1.276286500011338
2,*,False,0,3.5600009141489863e-05
3,*,True,1,1.205676300014602
4,*,False,0,5.160001455806196e-05
5,*,True,1,1.3517409000196494
